term,n_hits
sodomi*,28
urani*,795
onani*,4
tegennatuurlijk,0
travesti*,225
248 bis,9
COC,151
homofi*,35
lesbi*,66
flikker,7
potten OR poten,13675
AIDS,202
eonis*,0
"""seksuele inversie""",0
homoseksu*,177
geïnverteerd*,1
faggot*,38
"""sea queens"" OR ""sea queen"" ",0
tribad*,7
fricatrice*,0
pederas*,0
MtF*,65
FtM*,67
banjee*,0
dandy*,93
clones,0
GRID,121
hermafrodi*,24
vermomming,38
fairy OR fairies,188
gay,424
homo,945
queer,17
trans,322
transgenderisme,0
transseksualisme,0
"""intersekse variaties""",0
genderdysforie,0
genderidentiteitsstoornis,0
stoornissen AND seksuele AND ontwikkeling,0
